rank_th (article),time_std (article),rank_th (event),time_std (event),language,SUM F1,F1 (standard),P (standard),R (standard),F1 (bcubed),P (bcubed),R (bcubed),clusters
0.7,1,0.9,1,,0.8566932660129449,0.26576702959050535,0.7867337558662731,0.15988974251402802,0.5909262364224396,0.8329422716946551,0.45788514640954264,2953
0.7,3,0.9,1,,0.8499291174446824,0.26390353242824965,0.7624864915660386,0.15956526299229115,0.5860255850164328,0.8265065268364429,0.4539453228247593,2933
0.7,1,0.85,1,,0.9203747597127363,0.3389161397080551,0.6079069885770982,0.2349526718758194,0.5814586200046812,0.653539601233448,0.5236982575137995,1731
0.7,3,0.85,1,,0.8994479932368707,0.3209731472646684,0.5671666583611568,0.2238187634380408,0.5784748459722023,0.6536468665023564,0.5188096482511938,1746
0.8,1,0.9,1,,0.8298195326630268,0.24915271530958638,0.7853107344632768,0.14806426661072947,0.5806668173534404,0.8309965960478358,0.4462409869302099,2946
0.8,3,0.9,1,,0.8311942834955601,0.24984772441012154,0.7852057167605024,0.1485591798206513,0.5813465590854386,0.8308464522110365,0.4470878512304545,2947
0.8,3,0.85,1,,0.9116519436640211,0.330867815746802,0.619460111000171,0.22571319943363574,0.5807841279172191,0.6557372475955496,0.5212081649693766,1720
0.8,1,0.85,1,,0.9109490989328061,0.3300981597449,0.6172503591954023,0.22529039278409985,0.5808509391879061,0.6547974213505098,0.5219113262364584,1717

